global_case_id,density_group_id,local_case_id,input_anomaly_score,target_anomaly_score,case_feature_anomaly_score,max_abs_case_feature_zscore,combined_anomaly_rank_score
145,5,29,0.47194129371288585,0.5335278972983337,0.6379261729887687,4.754114226438256,2.8292282430213467
523,19,1,0.5956031294935834,0.549661186496226,0.4325486518684186,1.4604648391479156,2.8210180623973726
582,21,2,0.671946117852938,0.5250540211887981,0.4379416728281157,1.4551706568419414,2.812807881773399
9,1,9,0.6065584403769605,0.6006080442935642,0.4952220196116296,0.556685334131077,2.8045977011494254
25,1,25,0.5932778873569191,0.4736792481851479,0.5273800881038664,0.7455714846654464,2.7996715927750415
583,21,3,0.6637192760445408,0.5113872938548267,0.44250083090528375,1.4549974785158617,2.7996715927750406
203,7,29,0.4644090160632127,0.5349951369150153,0.621400631289803,4.8663128889812075,2.7972085385878493
60,3,2,0.5746693539482579,0.5288072748478979,0.439331937002492,1.6916924917191332,2.7947454844006567
468,17,4,0.523588114723744,0.5421629624868061,0.4560803920878535,1.809775739537056,2.7873563218390807
529,19,7,0.5395161977313531,0.5983970920765405,0.4643453625355793,0.908706089088465,2.7832512315270934
491,17,27,0.5031999684972894,0.5005869647653316,0.5595851792393054,1.725811224118691,2.762725779967159
554,20,3,0.6154683286998726,0.5271404195495795,0.4347214125872526,1.4550770103501396,2.758620689655172
497,18,4,0.5285766649563385,0.5356620092222409,0.451770926535547,1.7603873088907764,2.752052545155993
88,4,1,0.5540219285381028,0.5661914324760087,0.4299632900421832,1.6481408756037776,2.7471264367816093
180,7,6,0.4767362966979208,0.6133256742395171,0.5121614751876532,1.8322250261944557,2.742200328407225
262,10,1,0.5873501670517488,0.5454695097969223,0.4284828232639148,1.4548293198514075,2.7389162561576357
55,2,26,0.533561881097175,0.48354524726531806,0.538203434918618,0.9315585915391081,2.737274220032841
351,13,3,0.5786695948418082,0.49565362542750546,0.43480482534481524,1.7267133789046767,2.7323481116584567
310,11,20,0.5655068842556116,0.40937979298593236,0.5721785021085173,5.943971486393184,2.7307060755336616
231,8,28,0.47654983170346965,0.5229441530094213,0.5869929799468108,2.6897562856649038,2.715927750410509
433,15,27,0.49579060534294994,0.5060007332249253,0.5630093077450723,1.72627273058736,2.713464696223317
120,5,4,0.5004741388328173,0.5503666746387658,0.4638218709956747,1.9287569588212745,2.71264367816092
151,6,6,0.4747375962335182,0.6119102843682241,0.5139202683508067,1.8412047408574153,2.7126436781609193
378,14,1,0.5674212754587447,0.5470788057186485,0.420128987651073,1.6524062400686836,2.691297208538588
10,1,10,0.5938615369618514,0.5750913385611199,0.47284819406276624,0.5566855122241922,2.6781609195402294
259,9,27,0.49135188079633274,0.5089946238771736,0.5609538114455793,1.7253497176500219,2.6707717569786533
374,13,26,0.5287585367381621,0.47730090747895565,0.5318320930282184,0.9310970850704391,2.665845648604269
61,3,3,0.5670023679912132,0.5009249802367989,0.4352950935280037,1.7244684502389367,2.6617405582922826
173,6,28,0.4751084243499594,0.5159433884076606,0.5748403575876871,2.6897562856649038,2.660919540229885
114,4,27,0.48816661421728047,0.49816852330199624,0.5766172539541465,1.7267342370560292,2.6576354679802954
577,20,26,0.5438765037290771,0.46764849503328404,0.5244954961354987,0.9297125656644316,2.651067323481117
462,16,27,0.4891694744062021,0.5067061461783867,0.559500827445353,1.725811224118691,2.6494252873563218
384,14,7,0.5154210324332614,0.6066134904854725,0.4642911247620303,0.9069959991987362,2.641215106732348
144,5,28,0.46982327510506483,0.5174141983823206,0.5852346715404947,2.6897562856649038,2.6354679802955667
525,19,3,0.5718613084031998,0.5216250245357837,0.4311247761315289,1.4808936900061493,2.6288998357963878
236,9,4,0.5149827570152387,0.540470934240755,0.44955358849421545,1.713243806910237,2.619047619047619
553,20,2,0.6222298469427904,0.49257745980138523,0.42970279741177464,1.4547188872956465,2.614121510673235
202,7,28,0.4626729327595423,0.5201835772980227,0.5748403575876871,2.6897562856649038,2.6018062397372743
500,18,7,0.5134216782564346,0.5920089321372645,0.46282278122269976,0.9083296290555286,2.59688013136289
600,21,20,0.5541212786017548,0.40873576031553904,0.5293979794689647,3.663512430602153,2.587848932676519
311,11,21,0.5639559652904962,0.4169434601786989,0.515111190741803,2.0220362982893065,2.5714285714285716
494,18,1,0.5562835185846864,0.5366591938530507,0.4233617676911615,1.4891999260693873,2.5697865353037765
264,10,3,0.5698534631611388,0.522861304879494,0.42616979547396705,1.454605944909073,2.561576354679803
37,2,8,0.541438850104262,0.6077506700291825,0.46817793000618646,0.5732801997422156,2.552545155993432
605,21,25,0.5720477096511142,0.4609182594035719,0.49417038151791853,0.7437254587907699,2.536124794745484
344,12,25,0.5536593408138857,0.4668144742573995,0.49943107495156397,0.7455714846654464,2.5353037766830866
315,11,25,0.5733694925095284,0.4584382836492949,0.49406622607396694,0.7437254587907699,2.5344827586206895
