feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_087,87,H2 > H2(b 3 SIGMA),0.9954159347420043,0.9954159347420043,0.0
log10_e_over_n,log10_e_over_n,rate_const_114,114,OH-D1DELTA,0.9954147069998307,0.9954147069998307,0.0
log10_e_over_n,log10_e_over_n,rate_const_004,4,AR3S > AR4SPM,0.9954043514422573,0.9954043514422573,0.0
log10_e_over_n,log10_e_over_n,rate_const_185,185,O2-ELECTRONIC 8.4EV,0.995404177962731,0.995404177962731,0.0
log10_e_over_n,log10_e_over_n,rate_const_142,142,E + H2O > H + OH(A) + E,0.9954038043148281,0.9954038043148281,0.0
log10_e_over_n,log10_e_over_n,rate_const_112,112,OH-B1SIGMA,0.9954032038101519,0.9954032038101519,0.0
log10_e_over_n,log10_e_over_n,rate_const_199,199,O-3p 5P,0.9954005482580573,0.9954005482580573,0.0
log10_e_over_n,log10_e_over_n,rate_const_070,70,H > H**,0.9954003614360972,0.9954003614360972,0.0
log10_e_over_n,log10_e_over_n,rate_const_113,113,OH-I1SIGMA,0.9954003214028337,0.9954003214028337,0.0
log10_e_over_n,log10_e_over_n,rate_const_005,5,AR3S > AR4SPR,0.9953993872947233,0.9953993872947233,0.0
log10_e_over_n,log10_e_over_n,rate_const_110,110,OH-C1SIGMA,0.9953989736191144,0.9953989736191144,0.0
log10_e_over_n,log10_e_over_n,rate_const_161,161,E + H2OV > H + OH(A) + E,0.9953981329251115,0.9953981329251115,0.0
log10_e_over_n,log10_e_over_n,rate_const_071,71,H > H***,0.9953951438081303,0.9953951438081303,0.0
log10_e_over_n,log10_e_over_n,rate_const_072,72,H > H+,0.9953950623358336,0.9953950623358336,0.0
log10_e_over_n,log10_e_over_n,rate_const_092,92,H2 > H + H,0.9953944499098252,0.9953944499098252,0.0
log10_e_over_n,log10_e_over_n,rate_const_109,109,OH-DISSOC,0.9953935558506868,0.9953935558506868,0.0
log10_e_over_n,log10_e_over_n,rate_const_088,88,H2 > H2(c 3 PI),0.9953933423443834,0.9953933423443834,0.0
log10_e_over_n,log10_e_over_n,rate_const_119,119,OH-B3SIGMA,0.9953912072889042,0.9953912072889042,0.0
log10_e_over_n,log10_e_over_n,rate_const_155,155,E + H2OV > O + 2H + E,0.9953897532966722,0.9953897532966722,0.0
log10_e_over_n,log10_e_over_n,rate_const_009,9,AR3S > AR5P,0.9953842954014844,0.9953842954014844,0.0
log10_e_over_n,log10_e_over_n,rate_const_118,118,OH-E3SIGMA,0.9953795848215977,0.9953795848215977,0.0
log10_e_over_n,log10_e_over_n,rate_const_187,187,O2-IONIZATION,0.9953787041460648,0.9953787041460648,0.0
log10_e_over_n,log10_e_over_n,rate_const_007,7,AR3S > AR3D,0.9953770703499253,0.9953770703499253,0.0
log10_e_over_n,log10_e_over_n,rate_const_136,136,E + H2O > O + 2H + E,0.9953661442226436,0.9953661442226436,0.0
log10_e_over_n,log10_e_over_n,rate_const_008,8,AR3S > AR5S,0.9953655070502795,0.9953655070502795,0.0
log10_e_over_n,log10_e_over_n,rate_const_156,156,E + H2OV > H2O^ + 2E,0.9953597159690332,0.9953597159690332,0.0
log10_e_over_n,log10_e_over_n,rate_const_111,111,OH-E1PI,0.9953562134554857,0.9953562134554857,0.0
log10_e_over_n,log10_e_over_n,rate_const_188,188,02-130NM LINE EXCITE,0.9953549059086411,0.9953549059086411,0.0
log10_e_over_n,log10_e_over_n,rate_const_201,201,O-ION,0.9953495428315358,0.9953495428315358,0.0
log10_e_over_n,log10_e_over_n,rate_const_125,125,OH-Ionization,0.9953293201507857,0.9953293201507857,0.0
log10_e_over_n,log10_e_over_n,rate_const_137,137,E + H2O > H2O^ + 2E,0.9953188104932733,0.9953188104932733,0.0
log10_e_over_n,log10_e_over_n,rate_const_011,11,AR3S > AR6S,0.9953152053670368,0.9953152053670368,0.0
log10_e_over_n,log10_e_over_n,rate_const_010,10,AR3S > AR4D,0.9952968162442986,0.9952968162442986,0.0
log10_e_over_n,log10_e_over_n,rate_const_101,101,H3+ > H+ + H,0.9952731115775223,0.9952731115775223,0.0
log10_e_over_n,log10_e_over_n,rate_const_052,52,AR4P > AR4SPR,0.9936773033091726,0.9936773033091726,0.0
log10_e_over_n,log10_e_over_n,rate_const_143,143,E + H2O > H(2) [121.6nm] +OH+E,0.9927453166390767,0.9927453166390767,0.0
log10_e_over_n,log10_e_over_n,rate_const_012,12,AR3S > AR-RYD,0.99273213805159,0.99273213805159,0.0
log10_e_over_n,log10_e_over_n,rate_const_162,162,E + H2OV > H(2)[121.6nm] +OH+E,0.99272669283923,0.99272669283923,0.0
log10_e_over_n,log10_e_over_n,rate_const_090,90,H2 > H2+,0.9927254084778756,0.9927254084778756,0.0
log10_e_over_n,log10_e_over_n,rate_const_013,13,AR3S > AR^,0.9926258240330931,0.9926258240330931,0.0
log10_e_over_n,log10_e_over_n,rate_const_091,91,H2 > H*(ALPHA),0.9925482843896238,0.9925482843896238,0.0
log10_e_over_n,log10_e_over_n,rate_const_189,189,O + O^ + E + E,0.9925457463756024,0.9925457463756024,0.0
log10_e_over_n,log10_e_over_n,rate_const_157,157,E + H2OV > OH^ + H + E,0.9924837770802074,0.9924837770802074,0.0
log10_e_over_n,log10_e_over_n,rate_const_165,165,E + H2OV>O(3p5P)[777.4nm]+H2+E,0.9923931554232086,0.9923931554232086,0.0
log10_e_over_n,log10_e_over_n,rate_const_146,146,E + H2O >O(3p5P)[777.4nm]+H2+E,0.9923882849561144,0.9923882849561144,0.0
