global_case_id,density_group_id,local_case_id,cluster_id
348,12,29,0
349,13,1,1
350,13,2,1
351,13,3,1
352,13,4,1
353,13,5,1
354,13,6,1
355,13,7,0
356,13,8,0
357,13,9,0
358,13,10,0
359,13,11,0
360,13,12,0
361,13,13,0
362,13,14,0
363,13,15,0
364,13,16,0
365,13,17,0
366,13,18,0
367,13,19,0
368,13,20,0
369,13,21,0
370,13,22,0
371,13,23,0
372,13,24,0
373,13,25,0
374,13,26,0
375,13,27,0
376,13,28,0
377,13,29,0
378,14,1,1
379,14,2,1
380,14,3,1
381,14,4,1
382,14,5,1
383,14,6,1
384,14,7,0
385,14,8,0
386,14,9,0
387,14,10,0
388,14,11,0
389,14,12,0
390,14,13,0
391,14,14,0
392,14,15,0
393,14,16,0
394,14,17,0
395,14,18,0
396,14,19,0
397,14,20,0
398,14,21,0
399,14,22,0
400,14,23,0
401,14,24,0
402,14,25,0
403,14,26,0
404,14,27,0
405,14,28,0
406,14,29,0
407,15,1,1
408,15,2,1
409,15,3,1
410,15,4,1
411,15,5,1
412,15,6,1
413,15,7,0
414,15,8,0
415,15,9,0
416,15,10,0
417,15,11,0
418,15,12,0
419,15,13,0
420,15,14,0
421,15,15,0
422,15,16,0
423,15,17,0
424,15,18,0
425,15,19,0
426,15,20,0
427,15,21,0
428,15,22,0
429,15,23,0
430,15,24,0
431,15,25,0
432,15,26,0
433,15,27,0
434,15,28,0
435,15,29,0
436,16,1,1
437,16,2,1
438,16,3,1
439,16,4,1
440,16,5,1
441,16,6,1
442,16,7,0
443,16,8,0
444,16,9,0
445,16,10,0
446,16,11,0
447,16,12,0
448,16,13,0
449,16,14,0
450,16,15,0
451,16,16,0
452,16,17,0
453,16,18,0
454,16,19,0
455,16,20,0
456,16,21,0
457,16,22,0
458,16,23,0
459,16,24,0
460,16,25,0
461,16,26,0
462,16,27,0
463,16,28,0
464,16,29,0
465,17,1,1
466,17,2,1
467,17,3,1
468,17,4,1
469,17,5,1
470,17,6,1
471,17,7,0
472,17,8,0
473,17,9,0
474,17,10,0
475,17,11,0
476,17,12,0
477,17,13,0
478,17,14,0
479,17,15,0
480,17,16,0
481,17,17,0
482,17,18,0
483,17,19,0
484,17,20,0
485,17,21,0
486,17,22,0
487,17,23,0
488,17,24,0
489,17,25,0
490,17,26,0
491,17,27,0
492,17,28,0
493,17,29,0
494,18,1,1
495,18,2,1
496,18,3,1
497,18,4,1
498,18,5,1
499,18,6,1
500,18,7,0
501,18,8,0
502,18,9,0
503,18,10,0
504,18,11,0
505,18,12,0
506,18,13,0
507,18,14,0
508,18,15,0
509,18,16,0
510,18,17,0
511,18,18,0
512,18,19,0
513,18,20,0
514,18,21,0
515,18,22,0
516,18,23,0
517,18,24,0
518,18,25,0
519,18,26,0
520,18,27,0
521,18,28,0
522,18,29,0
523,19,1,1
524,19,2,1
525,19,3,1
526,19,4,1
527,19,5,1
528,19,6,1
529,19,7,0
530,19,8,0
531,19,9,0
532,19,10,0
533,19,11,0
534,19,12,0
535,19,13,0
536,19,14,0
537,19,15,0
538,19,16,0
539,19,17,0
540,19,18,0
541,19,19,0
542,19,20,0
543,19,21,0
544,19,22,0
545,19,23,0
546,19,24,0
547,19,25,0
548,19,26,0
549,19,27,0
550,19,28,0
551,19,29,0
552,20,1,1
553,20,2,1
554,20,3,1
555,20,4,1
556,20,5,1
557,20,6,1
558,20,7,0
559,20,8,0
560,20,9,0
561,20,10,0
562,20,11,0
563,20,12,0
564,20,13,0
565,20,14,0
566,20,15,0
567,20,16,0
568,20,17,0
569,20,18,0
570,20,19,0
571,20,20,0
572,20,21,0
573,20,22,0
574,20,23,0
575,20,24,0
576,20,25,0
577,20,26,0
578,20,27,0
579,20,28,0
580,20,29,0
581,21,1,1
582,21,2,1
583,21,3,1
584,21,4,1
585,21,5,1
586,21,6,1
587,21,7,0
588,21,8,0
589,21,9,0
590,21,10,0
591,21,11,0
592,21,12,0
593,21,13,0
594,21,14,0
595,21,15,0
596,21,16,0
597,21,17,0
598,21,18,0
599,21,19,0
600,21,20,0
601,21,21,0
602,21,22,0
603,21,23,0
604,21,24,0
605,21,25,0
606,21,26,0
607,21,27,0
608,21,28,0
609,21,29,0
