reaction_id,reaction_label,cluster_id,nonzero_fraction,active_density_group_count
67,AR2+ -RECOMBINATION,0,1.0,21
68,H -ELASTIC,0,1.0,21
69,H > H*,0,0.7931034482758621,21
70,H > H**,0,0.7931034482758621,21
71,H > H***,0,0.7931034482758621,21
72,H > H+,0,0.7931034482758621,21
73,H* -ELASTIC,0,1.0,21
74,H*  > H,0,1.0,21
75,H*  > H**,0,0.9655172413793104,21
76,H*  > H***,0,0.8275862068965517,21
77,H*  > H^,0,0.8275862068965517,21
78,H+ -ELASTIC,0,1.0,21
79,H+ -RECOMBINATION,0,1.0,21
80,H- -ELASTIC,0,1.0,21
81,H- -DETACHMENT,0,0.9655172413793104,21
82,H2-ELASTIC,0,1.0,21
83,H2-ROTATIONAL (0-2),0,1.0,21
84,H2-ROTATIONAL (1-3),0,1.0,21
85,H2 > H2(V=1),0,1.0,21
86,H2 > H2(V=2),0,0.9310344827586207,21
87,H2 > H2(b 3 SIGMA),0,0.7931034482758621,21
88,H2 > H2(c 3 PI),0,0.7931034482758621,21
89,H2 > H + H,0,0.7931034482758621,21
90,H2 > H2+,0,0.7586206896551724,21
91,H2 > H*(ALPHA),0,0.7586206896551724,21
92,H2 > H + H,0,0.7931034482758621,21
93,H2* -ELASTIC,0,1.0,21
94,H2*  > H2,0,1.0,21
95,H2*  > H2^,0,0.7931034482758621,21
96,H2+ -ELASTIC,0,1.0,21
97,H2+ > H+ + H,0,1.0,21
98,H2+ > H + H,0,1.0,21
99,H2+ > H+ + H-,0,1.0,21
100,H3+ -ELASTIC,0,1.0,21
101,H3+ > H+ + H,0,0.7931034482758621,21
102,H3+ > H + H2,0,1.0,21
103,H3+ > H2 + H,0,1.0,21
104,H3+ > H + H + H,0,1.0,21
105,H3+ > H^ + H + H,0,0.7586206896551724,21
106,OH-MOM TRANS,0,1.0,21
107,OH-V1,0,0.9655172413793104,21
108,OH-A1PI,0,0.7931034482758621,21
109,OH-DISSOC,0,0.7931034482758621,21
110,OH-C1SIGMA,0,0.7931034482758621,21
111,OH-E1PI,0,0.7931034482758621,21
112,OH-B1SIGMA,0,0.7931034482758621,21
113,OH-I1SIGMA,0,0.7931034482758621,21
114,OH-D1DELTA,0,0.7931034482758621,21
115,OH-A3PI,0,0.7931034482758621,21
116,OH-A3SIGMA,0,0.7931034482758621,21
117,OH-D3DELTA,0,0.7931034482758621,21
118,OH-E3SIGMA,0,0.7931034482758621,21
119,OH-B3SIGMA,0,0.7931034482758621,21
120,OH^-X2SIGMA--Not Used,1,0.0,0
121,OH^-A2PI--Not Used,1,0.0,0
122,OH^-B2SIGMA--Not Used,1,0.0,0
123,"OH-DISSOC, C^+O--Not Used",1,0.0,0
124,"OH-DISSOC,C+O^--Not used",1,0.0,0
125,OH-Ionization,0,0.7931034482758621,21
126,OH- -MOM,0,1.0,21
127,OH- -DETACH,0,0.8275862068965517,21
128,E + H2O-MOMENTUM TRANSFER,0,1.0,21
129,E + H2O > H2OV(100) + E,0,1.0,21
130,E + H2O > H2OV(010) + E,0,1.0,21
