target_column,reaction_id,reaction_label,total_variance,group_share,local_case_share,interaction_share,dominant_source
rate_const_048,48,AR4P > AR3S,64.35487990472092,1.7942294929351042e-06,0.9999512768256481,4.6928944860090574e-05,local_case_share
rate_const_051,51,AR4P > AR4SPM,113.25388469787367,1.9270512489356473e-06,0.9999499317299584,4.8141218795006864e-05,local_case_share
rate_const_061,61,"AR4D > AR4P,3D,5S,5P",162.40206267314417,1.9729641806794683e-06,0.9999484623605808,4.956467523903875e-05,local_case_share
rate_const_024,24,AR4SR > AR3S,56.657312442788346,2.036483383051505e-06,0.9999460786919728,5.1884824643808866e-05,local_case_share
rate_const_052,52,AR4P > AR4SPR,106.32535995598518,2.106444908183782e-06,0.9999458215456248,5.207200946692599e-05,local_case_share
rate_const_170,170,H2O2 > H2O + O-,75.41644711866331,3.7404531687365874e-06,0.9999447172486582,5.1542298173176425e-05,local_case_share
rate_const_171,171,H2O2 > OH + OH-,75.41843244323297,3.7626633951130004e-06,0.9999445829232795,5.165441332450174e-05,local_case_share
rate_const_097,97,H2+ > H+ + H,50.0242300746822,2.1917444184846656e-06,0.999941588814928,5.621944065441683e-05,local_case_share
rate_const_200,200,O-3p 3P,132074.1359424476,1.954171637909783e-06,0.9999414183045523,5.662752380955125e-05,local_case_share
rate_const_073,73,H* -ELASTIC,32.99567391473848,2.594216401586727e-06,0.9999289685075693,6.843727603084495e-05,local_case_share
rate_const_015,15,AR4SM-ELASTIC,76.18285119976784,3.2636642068731137e-06,0.9999289455471095,6.779078868443025e-05,local_case_share
rate_const_092,92,H2 > H + H,136039.49163812475,2.3979737626900448e-06,0.9999284704934635,6.913153277384269e-05,local_case_share
rate_const_083,83,H2-ROTATIONAL (0-2),443.92724295858335,4.355433856633667e-06,0.9999272182573908,6.84263087522041e-05,local_case_share
rate_const_172,172,O2-MOMENTUM,185.2175034151984,3.3498672983046706e-06,0.9999271695764756,6.948055622493856e-05,local_case_share
rate_const_110,110,OH-C1SIGMA,129412.95422329375,2.85221331851822e-06,0.9999152182507922,8.192953588936121e-05,local_case_share
rate_const_114,114,OH-D1DELTA,126555.22493853085,2.8673559898957244e-06,0.9999145705112225,8.256213278758811e-05,local_case_share
rate_const_093,93,H2* -ELASTIC,64.55381695234561,4.07522642503004e-06,0.9999063594692803,8.956530429358085e-05,local_case_share
rate_const_082,82,H2-ELASTIC,64.1568028927617,4.1110069372297985e-06,0.9999057794518292,9.010954123223354e-05,local_case_share
rate_const_106,106,OH-MOM TRANS,145.52501067822655,5.354281405041095e-06,0.9998987678375075,9.587788108838626e-05,local_case_share
rate_const_147,147,E + H2OV-MOMENTUM TRANSFER,8.256883595604897,3.4952065230458364e-06,0.9998962704600183,0.00010023433345649605,local_case_share
rate_const_128,128,E + H2O-MOMENTUM TRANSFER,8.25550490228541,3.4957902326953317e-06,0.9998962531368831,0.00010025107288158941,local_case_share
rate_const_088,88,H2 > H2(c 3 PI),136066.0202361923,3.5300068737714047e-06,0.9998953468436272,0.00010112314949911869,local_case_share
rate_const_003,3,AR3S > AR4SR,131776.79385048265,3.626524279871801e-06,0.9998926724198072,0.0001037010559127952,local_case_share
rate_const_002,2,AR3S > AR4SM,130748.69625373873,3.6350942255078177e-06,0.9998925415125125,0.00010382339326180716,local_case_share
rate_const_149,149,E + H2OV(010) > H2O+E x 1e-10,14.40839291225901,6.305158373016137e-06,0.9998810901211731,0.00011260472045369546,local_case_share
rate_const_004,4,AR3S > AR4SPM,125347.18835438293,4.494141467572744e-06,0.9998677206031018,0.0001277852554307874,local_case_share
rate_const_005,5,AR3S > AR4SPR,131835.27895703094,4.870984639796501e-06,0.9998572340800013,0.00013789493535894018,local_case_share
rate_const_084,84,H2-ROTATIONAL (1-3),520.2656605090168,1.115823324438214e-05,0.9998552070984296,0.00013363466832625785,local_case_share
rate_const_070,70,H > H**,131159.72772588796,5.325198781606639e-06,0.9998440325879188,0.00015064221329971986,local_case_share
rate_const_174,174,O2-ROTATIONAL,49.03647778411192,1.5411592640369842e-05,0.9998332239641401,0.00015136444321789137,local_case_share
rate_const_187,187,O2-IONIZATION,133896.03877483908,6.233019600861296e-06,0.9998198166743714,0.00017395030602801893,local_case_share
rate_const_031,31,AR4SPM-ELASTIC,46.54748345090803,1.3038984009837025e-05,0.9997903632310297,0.0001965977849598553,local_case_share
rate_const_012,12,AR3S > AR-RYD,134102.7543774369,1.1875077227943779e-05,0.9997726872760833,0.00021543764668861498,local_case_share
rate_const_162,162,E + H2OV > H(2)[121.6nm] +OH+E,130125.2028569447,1.2080546831325138e-05,0.9997674022436895,0.00022051720947923598,local_case_share
rate_const_068,68,H -ELASTIC,8.165771465733744,1.2655745139584505e-05,0.9997135441420575,0.0002738001128041959,local_case_share
rate_const_090,90,H2 > H2+,144100.14728517167,1.653308354444751e-05,0.9997069632431095,0.0002765036733459254,local_case_share
rate_const_109,109,OH-DISSOC,134165.9862168358,1.1242635855759769e-05,0.9996828114590539,0.00030594590509025905,local_case_share
rate_const_071,71,H > H***,126491.08861864737,1.1835178996766046e-05,0.9996729830644825,0.00031518175652058624,local_case_share
rate_const_143,143,E + H2O > H(2) [121.6nm] +OH+E,129383.47479419707,1.9340562556885733e-05,0.9996613522560398,0.00031930718140324904,local_case_share
rate_const_006,6,AR3S > AR4P,134129.36188142622,1.3850533491259501e-05,0.9996305102994422,0.00035563916706655285,local_case_share
