Time[s],Electron Density [m^-3],Argon Density [m^-3],AR4SM,AR4SR,AR4SPM,AR4SPR,AR4P,AR4D,AR+,AR2*,AR2+
1.9999870204401304e-08,7185265328128.0,2.3967422743098425e+19,28991071191040.0,58181199855616.0,6614428942336.0,48342386081792.0,40284054355968.0,622269169664.0,965910921216.0,27069618585600.0,169565323264.0
2.037348956207552e-08,7265587822592.0,2.396741834505191e+19,29522495799296.0,59283270008832.0,6736812441600.0,49215732449280.0,40362282319872.0,627387531264.0,955847081984.0,27870177001472.0,168472018944.0
2.075222127473353e-08,7343048753152.0,2.3967413947005403e+19,30041029214208.0,60356567236608.0,6855924383744.0,50063761997824.0,40419496820736.0,632206458880.0,945954619392.0,28668774580224.0,167515783168.0
2.113613462029207e-08,7417786531840.0,2.396740954895889e+19,30546499469312.0,61400428838912.0,6971703427072.0,50886042714112.0,40458302521344.0,636747710464.0,936338128896.0,29464335482880.0,166668468224.0
2.1525298876667875e-08,7489940619264.0,2.396740515091238e+19,31038799609856.0,62414376665088.0,7084106579968.0,51682293579776.0,40481165672448.0,641032978432.0,927078088704.0,30255840493568.0,165913968640.0
2.1919788650848204e-08,7559639990272.0,2.3967400752865874e+19,31517860429824.0,63398066782208.0,7193105530880.0,52452342628352.0,40490305060864.0,645081792512.0,918226993152.0,31042322825216.0,165243469824.0
2.231967499710663e-08,7626983735296.0,2.3967398553842614e+19,31983654666240.0,64351268503552.0,7298685075456.0,53196131139584.0,40487587151872.0,648909684736.0,909798014976.0,31822868119552.0,164652220416.0
2.272503074607357e-08,7691950882816.0,2.3967394155796103e+19,32436440268800.0,65274040549376.0,7400879816704.0,53913940131840.0,40474240876544.0,652517113856.0,901685379072.0,32596601864192.0,164134043648.0
2.313593405744996e-08,7754630561792.0,2.3967389757749592e+19,32876286443520.0,66166399696896.0,7499701288960.0,54605912211456.0,40451902013440.0,655918432256.0,893908942848.0,33362704072704.0,163681402880.0
2.3552457761866208e-08,7815134445568.0,2.396738535970308e+19,33303205773312.0,67028366917632.0,7595157356544.0,55272169013248.0,40422067929088.0,659129630720.0,886500556800.0,34120398798848.0,163290202112.0
2.3974681795380093e-08,7873565818880.0,2.3967383160679825e+19,33717236006912.0,67860059652096.0,7687264796672.0,55912903475200.0,40386051440640.0,662165127168.0,879475949568.0,34868960428032.0,162958393344.0
2.4402680764978868e-08,7930020102144.0,2.396737876263331e+19,34118437961728.0,68661675032576.0,7776047726592.0,56528367255552.0,40345001787392.0,665038159872.0,872839053312.0,35607707385856.0,162684665856.0
2.4836536383077146e-08,7984586948608.0,2.3967374364586803e+19,34506897620992.0,69433485688832.0,7861540225024.0,57118883315712.0,40299933990912.0,667760590848.0,866584821760.0,36335997943808.0,162467725312.0
2.527632680937586e-08,8037349720064.0,2.3967372165563548e+19,34882719842304.0,70175831359488.0,7943780564992.0,57684812365824.0,40251716272128.0,670343168000.0,860701851648.0,37053244899328.0,162305884160.0
2.5722133756289626e-08,8088386011136.0,2.3967367767517037e+19,35246028357632.0,70889106309120.0,8022814883840.0,58226569641984.0,40201107800064.0,672795721728.0,855174545408.0,37758886215680.0,162196946944.0
2.617403893623305e-08,8137768697856.0,2.396736556849378e+19,35596969967616.0,71573767716864.0,8098693513216.0,58744608129024.0,40148758691840.0,675126902784.0,849984552960.0,38452410187776.0,162138177536.0
2.6632129390691265e-08,8185567510528.0,2.3967361170447274e+19,35935697764352.0,72230310510592.0,8171472551936.0,59239418560512.0,40095230984192.0,677344837632.0,845111754752.0,39133342859264.0,162126397440.0
2.709648505572204e-08,8231845888000.0,2.3967358971424014e+19,36262383714304.0,72859279949824.0,8241212293120.0,59711516835840.0,40041002827776.0,679456604160.0,840535506944.0,39801252216832.0,162158100480.0
2.7567192972810517e-08,8276664647680.0,2.396735677240076e+19,36577220755456.0,73461238071296.0,8307975127040.0,60161448214528.0,39986468487168.0,681468755968.0,836234969088.0,40455727218688.0,162229534720.0
2.8044341959798658e-08,8320081461248.0,2.3967352374354248e+19,36880406020096.0,74036805632000.0,8371828686848.0,60589783121920.0,39931976089600.0,683387191296.0,832189562880.0,41096415543296.0,162336768000.0
2.852801905817159e-08,8362151378944.0,2.3967350175330992e+19,37172145029120.0,74586603388928.0,8432841654272.0,60997108760576.0,39877798264832.0,685217218560.0,828379758592.0,41722981646336.0,162475900928.0
2.9018313085771297e-08,8402926305280.0,2.3967347976307737e+19,37452664274944.0,75111302430720.0,8491087429632.0,61384024915968.0,39824169893888.0,686963621888.0,824786616320.0,42335140315136.0,162643017728.0
2.9515314636796578e-08,8442454474752.0,2.3967343578261225e+19,37722190249984.0,75611573846016.0,8546638364672.0,61751148150784.0,39771279720448.0,688630726656.0,821392441344.0,42932631502848.0,162834382848.0
