density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
3,9,AR^,1.862e-08,1.862e-08,0.0,True
3,10,AR2*,5.674e-07,5.674e-07,0.0,True
3,11,AR2^,3.855e-09,3.855e-09,0.0,True
3,12,H,4.617e-06,4.617e-06,0.0,True
3,13,H*,4.231e-11,4.231e-11,0.0,True
3,14,H^,1.303e-13,1.303e-13,0.0,True
3,15,H-,4.336e-09,4.336e-09,0.0,True
3,16,H2,1.027e-07,1.027e-07,0.0,True
3,17,H2*,1.114e-12,1.114e-12,0.0,True
3,18,H2^,5.861e-15,5.861e-15,0.0,True
3,19,H3^,8.361e-14,8.361e-14,0.0,True
3,20,OH,4.872e-06,4.872e-06,0.0,True
3,21,OH*,3.575e-08,3.575e-08,0.0,True
3,22,OH^,1.015e-12,1.015e-12,0.0,True
3,23,OH-,9.084e-08,9.084e-08,0.0,True
3,24,H2O,0.01999,0.01999,0.0,True
3,25,H2OV,5.716e-06,5.716e-06,0.0,True
3,26,H2O^,1.338e-08,1.338e-08,0.0,True
3,27,HO2,1.627e-14,1.627e-14,0.0,True
3,28,H2O2,2.43e-10,2.43e-10,0.0,True
3,29,H3O^,2.023e-07,2.023e-07,0.0,True
3,30,O2,1.106e-14,1.106e-14,0.0,True
3,31,O2^,7.814e-17,7.814e-17,0.0,True
3,32,O2-,8.247e-22,8.247e-22,0.0,True
3,33,O,8.588e-10,8.588e-10,0.0,True
3,34,O^,3.895e-17,3.895e-17,0.0,True
3,35,O-,1.426e-08,1.426e-08,0.0,True
3,36,HV_096,0.0,0.0,0.0,True
3,37,HV_106,0.0,0.0,0.0,True
3,38,HV_126,0.0,0.0,0.0,True
3,39,ONE,0.0,0.0,0.0,True
3,40,TE,0.0,0.0,0.0,True
3,41,TGAS,0.0,0.0,0.0,True
3,42,EB,0.0,0.0,0.0,True
3,43,POS,0.0,0.0,0.0,True
3,44,POSITION,0.0,0.0,0.0,True
3,45,SPEED,0.0,0.0,0.0,True
3,46,EDEP,0.0,0.0,0.0,True
3,47,PDEP,0.0,0.0,0.0,True
3,48,M,0.0,0.0,0.0,True
3,49,MIS,0.0,0.0,0.0,True
4,1,E,1.379e-07,1.379e-07,0.0,True
4,2,AR3S,0.98,0.98,0.0,True
4,3,AR4SM,6.674e-07,6.674e-07,0.0,True
4,4,AR4SR,1.37e-06,1.37e-06,0.0,True
4,5,AR4SPM,1.532e-07,1.532e-07,0.0,True
4,6,AR4SPR,1.115e-06,1.115e-06,0.0,True
4,7,AR4P,6.902e-07,6.902e-07,0.0,True
4,8,AR4D,8.804e-09,8.804e-09,0.0,True
4,9,AR^,1.651e-08,1.651e-08,0.0,True
4,10,AR2*,8.082e-07,8.082e-07,0.0,True
4,11,AR2^,3.487e-09,3.487e-09,0.0,True
4,12,H,9.711e-06,9.711e-06,0.0,True
4,13,H*,1.585e-10,1.585e-10,0.0,True
4,14,H^,2.561e-13,2.561e-13,0.0,True
4,15,H-,4.676e-09,4.676e-09,0.0,True
4,16,H2,2.002e-07,2.002e-07,0.0,True
4,17,H2*,3.927e-12,3.927e-12,0.0,True
4,18,H2^,1.017e-14,1.017e-14,0.0,True
4,19,H3^,2.58e-13,2.58e-13,0.0,True
4,20,OH,1.01e-05,1.01e-05,0.0,True
4,21,OH*,9.113e-08,9.113e-08,0.0,True
4,22,OH^,1.276e-12,1.276e-12,0.0,True
4,23,OH-,1.756e-07,1.756e-07,0.0,True
4,24,H2O,0.01998,0.01998,0.0,True
4,25,H2OV,1.079e-05,1.079e-05,0.0,True
4,26,H2O^,1.188e-08,1.188e-08,0.0,True
4,27,HO2,7.245e-14,7.245e-14,0.0,True
4,28,H2O2,9e-10,9e-10,0.0,True
4,29,H3O^,3.129e-07,3.129e-07,0.0,True
4,30,O2,1.405e-13,1.405e-13,0.0,True
4,31,O2^,3.862e-16,3.862e-16,0.0,True
4,32,O2-,3.159e-20,3.159e-20,0.0,True
4,33,O,3.268e-09,3.268e-09,0.0,True
4,34,O^,1.407e-16,1.407e-16,0.0,True
4,35,O-,2.663e-08,2.663e-08,0.0,True
4,36,HV_096,0.0,0.0,0.0,True
4,37,HV_106,0.0,0.0,0.0,True
4,38,HV_126,0.0,0.0,0.0,True
4,39,ONE,0.0,0.0,0.0,True
4,40,TE,0.0,0.0,0.0,True
4,41,TGAS,0.0,0.0,0.0,True
4,42,EB,0.0,0.0,0.0,True
4,43,POS,0.0,0.0,0.0,True
4,44,POSITION,0.0,0.0,0.0,True
4,45,SPEED,0.0,0.0,0.0,True
4,46,EDEP,0.0,0.0,0.0,True
4,47,PDEP,0.0,0.0,0.0,True
4,48,M,0.0,0.0,0.0,True
4,49,MIS,0.0,0.0,0.0,True
5,1,E,1.409e-07,1.409e-07,0.0,True
5,2,AR3S,0.98,0.98,0.0,True
5,3,AR4SM,7.009e-07,7.009e-07,0.0,True
5,4,AR4SR,1.435e-06,1.435e-06,0.0,True
5,5,AR4SPM,1.601e-07,1.601e-07,0.0,True
5,6,AR4SPR,1.161e-06,1.161e-06,0.0,True
5,7,AR4P,6.851e-07,6.851e-07,0.0,True
5,8,AR4D,8.755e-09,8.755e-09,0.0,True
5,9,AR^,1.6e-08,1.6e-08,0.0,True
5,10,AR2*,9.167e-07,9.167e-07,0.0,True
5,11,AR2^,3.443e-09,3.443e-09,0.0,True
5,12,H,1.526e-05,1.526e-05,0.0,True
5,13,H*,3.634e-10,3.634e-10,0.0,True
5,14,H^,4.029e-13,4.029e-13,0.0,True
5,15,H-,4.783e-09,4.783e-09,0.0,True
5,16,H2,3.018e-07,3.018e-07,0.0,True
5,17,H2*,8.639e-12,8.639e-12,0.0,True
5,18,H2^,1.488e-14,1.488e-14,0.0,True
5,19,H3^,5.197e-13,5.197e-13,0.0,True
5,20,OH,1.577e-05,1.577e-05,0.0,True
5,21,OH*,1.537e-07,1.537e-07,0.0,True
5,22,OH^,1.657e-12,1.657e-12,0.0,True
5,23,OH-,2.605e-07,2.605e-07,0.0,True
5,24,H2O,0.01997,0.01997,0.0,True
5,25,H2OV,1.594e-05,1.594e-05,0.0,True
5,26,H2O^,1.156e-08,1.156e-08,0.0,True
5,27,HO2,2.604e-13,2.604e-13,0.0,True
5,28,H2O2,2.327e-09,2.327e-09,0.0,True
5,29,H3O^,4.143e-07,4.143e-07,0.0,True
5,30,O2,7.584e-13,7.584e-13,0.0,True
5,31,O2^,1.213e-15,1.213e-15,0.0,True
5,32,O2-,3.515e-19,3.515e-19,0.0,True
5,33,O,8.003e-09,8.003e-09,0.0,True
5,34,O^,3.415e-16,3.415e-16,0.0,True
5,35,O-,3.903e-08,3.903e-08,0.0,True
5,36,HV_096,0.0,0.0,0.0,True
5,37,HV_106,0.0,0.0,0.0,True
5,38,HV_126,0.0,0.0,0.0,True
5,39,ONE,0.0,0.0,0.0,True
5,40,TE,0.0,0.0,0.0,True
5,41,TGAS,0.0,0.0,0.0,True
5,42,EB,0.0,0.0,0.0,True
5,43,POS,0.0,0.0,0.0,True
5,44,POSITION,0.0,0.0,0.0,True
5,45,SPEED,0.0,0.0,0.0,True
5,46,EDEP,0.0,0.0,0.0,True
5,47,PDEP,0.0,0.0,0.0,True
5,48,M,0.0,0.0,0.0,True
5,49,MIS,0.0,0.0,0.0,True
6,1,E,1.426e-07,1.426e-07,0.0,True
6,2,AR3S,0.98,0.98,0.0,True
6,3,AR4SM,7.118e-07,7.118e-07,0.0,True
6,4,AR4SR,1.454e-06,1.454e-06,0.0,True
6,5,AR4SPM,1.622e-07,1.622e-07,0.0,True
6,6,AR4SPR,1.174e-06,1.174e-06,0.0,True
6,7,AR4P,6.827e-07,6.827e-07,0.0,True
6,8,AR4D,8.724e-09,8.724e-09,0.0,True
6,9,AR^,1.574e-08,1.574e-08,0.0,True
6,10,AR2*,9.609e-07,9.609e-07,0.0,True
6,11,AR2^,3.42e-09,3.42e-09,0.0,True
6,12,H,2.096e-05,2.096e-05,0.0,True
6,13,H*,6.591e-10,6.591e-10,0.0,True
6,14,H^,5.601e-13,5.601e-13,0.0,True
6,15,H-,4.839e-09,4.839e-09,0.0,True
6,16,H2,4.049e-07,4.049e-07,0.0,True
6,17,H2*,1.525e-11,1.525e-11,0.0,True
6,18,H2^,1.966e-14,1.966e-14,0.0,True
6,19,H3^,8.635e-13,8.635e-13,0.0,True
6,20,OH,2.158e-05,2.158e-05,0.0,True
6,21,OH*,2.189e-07,2.189e-07,0.0,True
6,22,OH^,2.06e-12,2.06e-12,0.0,True
6,23,OH-,3.423e-07,3.423e-07,0.0,True
6,24,H2O,0.01996,0.01996,0.0,True
6,25,H2OV,2.104e-05,2.104e-05,0.0,True
6,26,H2O^,1.14e-08,1.14e-08,0.0,True
6,27,HO2,7.435e-13,7.435e-13,0.0,True
6,28,H2O2,4.885e-09,4.885e-09,0.0,True
6,29,H3O^,5.103e-07,5.103e-07,0.0,True
6,30,O2,2.628e-12,2.628e-12,0.0,True
6,31,O2^,2.907e-15,2.907e-15,0.0,True
6,32,O2-,2.069e-18,2.069e-18,0.0,True
6,33,O,1.555e-08,1.555e-08,0.0,True
6,34,O^,6.602e-16,6.602e-16,0.0,True
6,35,O-,5.112e-08,5.112e-08,0.0,True
6,36,HV_096,0.0,0.0,0.0,True
6,37,HV_106,0.0,0.0,0.0,True
6,38,HV_126,0.0,0.0,0.0,True
6,39,ONE,0.0,0.0,0.0,True
6,40,TE,0.0,0.0,0.0,True
6,41,TGAS,0.0,0.0,0.0,True
6,42,EB,0.0,0.0,0.0,True
6,43,POS,0.0,0.0,0.0,True
6,44,POSITION,0.0,0.0,0.0,True
6,45,SPEED,0.0,0.0,0.0,True
