global_case_id,density_group_id,local_case_id,max_reaction_id,max_reaction_label,max_rate_const,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
36,2,7,63,AR+ -ELASTIC,8.494e-05,204.0,0.0,8.494e-05,5.028642763569383e-06,8.0905e-11,1.9978049570357138e-05,0.0,0.0,1.3412499999999999e-16,8.0905e-11,2.79825e-08,8.494e-05,8.494e-05,0.0010258431237681542,29.0,175.0,175.0,0.0,158.0
37,2,8,63,AR+ -ELASTIC,3.814e-05,204.0,0.0,3.814e-05,2.2839287340627568e-06,2.2745e-10,8.964772691763356e-06,0.0,4.807500000000012e-22,5.59575e-15,2.2745e-10,3.2555e-08,3.814e-05,3.814e-05,0.0004659214617488024,11.0,193.0,193.0,0.0,176.0
38,2,9,63,AR+ -ELASTIC,2.733e-05,204.0,0.0,2.733e-05,1.6529503318765682e-06,3.5789999999999997e-10,6.42057764355569e-06,0.0,1.6470450000000038e-21,2.976e-13,3.5789999999999997e-10,3.266e-08,2.733e-05,2.733e-05,0.0003372018677028199,10.0,194.0,194.0,0.0,177.0
39,2,10,63,AR+ -ELASTIC,2.371e-05,204.0,0.0,2.371e-05,1.4424781729971456e-06,5.5225e-10,5.568554261607447e-06,0.0,3.457750000000005e-21,1.0768e-12,5.5225e-10,3.252e-08,2.371e-05,2.371e-05,0.0002942655472914177,7.0,197.0,197.0,0.0,178.0
40,2,11,63,AR+ -ELASTIC,2.218e-05,204.0,0.0,2.218e-05,1.3537139579879595e-06,5.923999999999999e-10,5.208447044460752e-06,0.0,5.735100000000006e-21,2.0695e-12,5.923999999999999e-10,3.32775e-08,2.218e-05,2.218e-05,0.00027615764742954375,6.0,198.0,198.0,0.0,181.0
41,2,12,63,AR+ -ELASTIC,2.058e-05,204.0,0.0,2.058e-05,1.260981864752254e-06,6.491e-10,4.83188246185928e-06,0.0,4.122050000000006e-20,4.6525e-12,6.491e-10,3.50525e-08,2.058e-05,2.058e-05,0.0002572403004094598,6.0,198.0,198.0,0.0,180.0
42,2,13,63,AR+ -ELASTIC,1.96e-05,204.0,0.0,1.96e-05,1.2042171924652675e-06,7.275e-10,4.601253062780331e-06,0.0,9.295400000000006e-20,6.8185e-12,7.275e-10,3.72625e-08,1.96e-05,1.96e-05,0.0002456603072629146,6.0,198.0,198.0,0.0,180.0
43,2,14,63,AR+ -ELASTIC,1.887e-05,204.0,0.0,1.887e-05,1.1619559716724992e-06,8.0765e-10,4.429467030393807e-06,0.0,2.40935e-19,1.1998e-11,8.0765e-10,3.86475e-08,1.887e-05,1.887e-05,0.00023703901822118983,6.0,198.0,198.0,0.0,181.0
44,2,15,63,AR+ -ELASTIC,1.829e-05,204.0,0.0,1.829e-05,1.1284076647190549e-06,8.429000000000001e-10,4.292984257953821e-06,0.0,3.3566500000000006e-19,1.617e-11,8.429000000000001e-10,3.967e-08,1.829e-05,1.829e-05,0.00023019516360268718,6.0,198.0,198.0,0.0,181.0
45,2,16,63,AR+ -ELASTIC,1.737e-05,204.0,0.0,1.737e-05,1.0752451930832926e-06,8.6075e-10,4.076505488118704e-06,0.0,3.7715150000000084e-18,2.0255000000000002e-11,8.6075e-10,4.20425e-08,1.737e-05,1.737e-05,0.0002193500193889917,6.0,198.0,198.0,0.0,181.0
46,2,17,80,H- -ELASTIC,1.666e-05,204.0,0.0,1.666e-05,1.0337515040895047e-06,9.472e-10,3.907293450638371e-06,0.0,4.2358400000000097e-17,2.24925e-11,9.472e-10,4.4464999999999995e-08,1.665e-05,1.665e-05,0.00021088530683425897,5.0,199.0,199.0,0.0,182.0
47,2,18,80,H- -ELASTIC,1.593e-05,204.0,0.0,1.593e-05,9.917003013904397e-07,1.06825e-09,3.735544020297373e-06,0.0,3.477630000000008e-16,2.4505e-11,1.06825e-09,4.7312499999999994e-08,1.592e-05,1.592e-05,0.00020230686148364969,5.0,199.0,199.0,0.0,184.0
48,2,19,63,AR+ -ELASTIC,1.531e-05,204.0,0.0,1.531e-05,9.565721192262326e-07,1.136e-09,3.5918427743962666e-06,0.0,1.368095000000003e-15,3.2315e-11,1.136e-09,4.96e-08,1.531e-05,1.531e-05,0.00019514071232215146,5.0,199.0,199.0,0.0,179.0
49,2,20,63,AR+ -ELASTIC,1.478e-05,204.0,0.0,1.478e-05,9.261373912624119e-07,1.1950000000000001e-09,3.467169089138583e-06,0.0,2.8403400000000054e-15,4.16875e-11,1.1950000000000001e-09,5.18525e-08,1.478e-05,1.478e-05,0.00018893202781753202,5.0,199.0,199.0,0.0,182.0
50,2,21,80,H- -ELASTIC,1.431e-05,204.0,0.0,1.431e-05,8.986515027347538e-07,1.2515e-09,3.35446532822499e-06,0.0,5.417100000000009e-15,5.1035e-11,1.2515e-09,5.3925e-08,1.43e-05,1.43e-05,0.00018332490655788977,5.0,199.0,199.0,0.0,183.0
51,2,22,80,H- -ELASTIC,1.376e-05,204.0,0.0,1.376e-05,8.671742602944454e-07,1.3225e-09,3.2251141896281926e-06,0.0,1.1473050000000018e-14,5.133e-11,1.3225e-09,5.6542500000000005e-08,1.375e-05,1.375e-05,0.00017690354910006686,5.0,199.0,199.0,0.0,183.0
52,2,23,80,H- -ELASTIC,1.327e-05,204.0,0.0,1.327e-05,8.386452802200238e-07,1.4145e-09,3.107737756979441e-06,0.0,2.955250000000003e-14,6.56875e-11,1.4145e-09,5.8205e-08,1.325e-05,1.325e-05,0.00017108363716488486,5.0,199.0,199.0,0.0,182.0
53,2,24,80,H- -ELASTIC,1.281e-05,204.0,0.0,1.281e-05,8.11876753827455e-07,1.645e-09,2.9974349669041906e-06,0.0,7.960150000000003e-14,6.79175e-11,1.645e-09,5.80425e-08,1.278e-05,1.278e-05,0.00016562285778080082,5.0,199.0,199.0,0.0,183.0
54,2,25,80,H- -ELASTIC,1.22e-05,204.0,0.0,1.22e-05,7.766391596675041e-07,1.8235000000000002e-09,2.8519007574656435e-06,0.0,1.8870000000000002e-13,9.73575e-11,1.8235000000000002e-09,5.86675e-08,1.216e-05,1.216e-05,0.00015843438857217083,5.0,199.0,199.0,0.0,183.0
55,2,26,80,H- -ELASTIC,1.165e-05,204.0,0.0,1.165e-05,7.454376856225531e-07,1.941e-09,2.7226652167876443e-06,0.0,1.84935e-13,1.0694000000000001e-10,1.941e-09,6.12625e-08,1.161e-05,1.161e-05,0.00015206928786700084,5.0,199.0,199.0,0.0,182.0
56,2,27,80,H- -ELASTIC,9.905e-06,204.0,0.0,9.905e-06,6.44206378628435e-07,2.8415e-09,2.300692127001683e-06,0.0,5.88725e-13,1.6444999999999999e-10,2.8415e-09,6.473e-08,9.807e-06,9.808e-06,0.00013141810124020075,5.0,199.0,199.0,0.0,184.0
